current_city,selfdissim_current_future,future_city_1_source,future_city_1_source_dissim,future_city_2_source,future_city_2_source_dissim,future_city_3_source,future_city_3_source_dissim,Lat_change,Annual_Mean_Temperature,future_Annual_Mean_Temperature,change_Annual_Mean_Temperature,Annual_Precipitation,future_Annual_Precipitation,change_Annual_Precipitation,Max_Temperature_of_Warmest_Month,future_Max_Temperature_of_Warmest_Month,change_Max_Temperature_of_Warmest_Month,rel_change_Max_Temperature_of_Warmest_Month,Min_Temperature_of_Coldest_Month,future_Min_Temperature_of_Coldest_Month,change_Min_Temperature_of_Coldest_Month,rel_change_Min_Temperature_of_Coldest_Month,Precipitation_of_Wettest_Month,future_Precipitation_of_Wettest_Month,change_Precipitation_of_Wettest_Month,rel_change_Precipitation_of_Wettest_Month,Latitude,Longitude,future_lat,future_long


Ljubljana,1.842241522,Virginia Beach,0.225351758,Charlotte,0.702372729,Louisville,0.72621054,-9.202073975,9.774999619,13.3,3.525000381,1409,1293.666667,-115.3333333,23.60000038,31.6,7.99999962,0.338983029,-6.400000095,-0.7,5.700000095,-0.890625002,163,139.6666667,-23.3333333,-0.143149284,46.05528831,14.51496903,36.85321433,-75.97831873


Belgrade,2.159518671,San Antonio,0.638292427,Austin,0.654764949,Bursa,0.861037537,-15.33131226,11.88333321,15.36666667,3.48333346,668,666,-2,25.79999924,33.73333333,7.93333409,0.307493579,-4.599999905,1.033333333,5.633333238,-1.224637686,91,86.66666667,-4.33333333,-0.047619048,44.81864545,20.46799068,29.48733319,-98.50730534


Novi Sad,1.834586086,Dallas,0.880112262,Skopje,0.97373917,Almaty,1.033464437,-12.43035238,11.39583302,14.33333333,2.937500318,611,639.3333333,28.33333333,25.5,33.43333333,7.93333333,0.311111111,-4.800000191,-1.133333333,3.666666858,-0.763888898,90,83,-7,-0.077777778,45.2503762,19.84994055,32.82002382,-96.84001693


Budapest,1.894243591,Skopje,0.545914917,Bursa,0.776097556,Canberra,0.778016282,-5.500000204,11.23333359,14.26666667,3.033333079,545,547.3333333,2.333333333,24.39999962,32.2,7.80000038,0.319672152,-4,-0.266666667,3.733333333,-0.933333333,65,67.33333333,2.33333333,0.035897436,47.50000633,19.08332068,42.00000612,21.43346147


Turin,1.563326826,Dallas,0.744010744,Austin,1.025333294,San Antonio,1.122618418,-12.25036336,13.24166679,15.36666667,2.124999873,885,821.6666667,-63.33333333,26.60000038,34.33333333,7.73333295,0.290726799,-1.200000048,0.533333333,1.733333381,-1.444444427,131,109,-22,-0.167938931,45.07038719,7.669960489,32.82002382,-96.84001693


Yerevan,1.479212541,Tashkent,0.540628407,Ashgabat,0.577149562,Las Vegas,0.723476928,1.130551148,11.01666641,14.43333333,3.416666921,333,334,1,29,36.6,7.6,0.262068966,-10,-4.833333333,5.166666667,-0.516666667,55,54,-1,-0.018181818,40.18115074,44.51355139,41.31170188,69.29493282


